"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Res.'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Record'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Opponent'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Method'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Event'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Round'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Time'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Location'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '45–23–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ricardo Tirloni'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 27, 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Portland, Oregon, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator Season Nine Lightweight Tournament Quarterfinal.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '45–22–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marcin Held'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Submission (toe hold)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator 81'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 16, 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:04'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kingston, Rhode Island, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator Season Seven Lightweight Tournament Semifinal.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '45–21–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alexander Sarnavskiy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (split)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator 77'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'October 19, 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Reading, Pennsylvania, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator Season Seven Lightweight Tournament Quarterfinal.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '44–21–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Robert Washington'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Submission (guillotine choke)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rogue Warrior Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 16, 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:51'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Las Vegas, Nevada, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '43–21–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Derek Campos'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Submission (guillotine choke)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator 70'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 25, 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4:18'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New Orleans, Louisiana, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '157 lb Catchweight.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '42–21–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chris Clements'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TKO (punches)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Score Fighting Series 3: Meltdown in the Valley'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 3, 2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:17'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sarnia, Ontario, Canada'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Welterweight bout.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '42–20–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ronnie Rogers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Submission (rear-naked choke)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Victory Promotions: Clementi vs. Rogers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 12, 2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:05'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lowell, Massachusetts, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '41–20–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shinya Aoki'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Submission (neck crank)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dream: Fight for Japan!'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 29, 2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2:32'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saitama, Saitama, Japan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Non-title bout.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '41–19–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Reza Madadi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Superior Challenge 7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 30, 2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Stockholm, Sweden'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'For Superior Challenge Lightweight Championship.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '41–18–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Josh Hinkle'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TCF: Rogue Warrior Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 8, 2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'El Paso, Texas, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
