"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Competition'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Venue'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Position'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Event'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Time'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 7, 'is_header': True, 'row_span': 1, 'value': 'Representing Louisville Track Club'}",,,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA Junior Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bloomington, Indiana'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '400 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '48.28'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 7, 'is_header': True, 'row_span': 1, 'value': 'Representing the TCU Horned Frogs'}",,,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2013'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'NCAA Division I Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Eugene, Oregon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 × 100 m relay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '39.87'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 × 400 m relay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:05.37'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NCAA Division I Indoor Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Albuquerque, New Mexico'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 × 400 m relay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:12:41'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A'}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'NCAA Division I Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Eugene, Oregon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23rd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '100 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10.74'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '+0.6 m/s wind'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 × 100 m relay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '39.52'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SB'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 5, 'value': '2015'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'NCAA Division I Indoor Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Fayetteville, Arkansas'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1st'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '60 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6.52'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'PB'}"
