"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Res.'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Record'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Opponent'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Method'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Event'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Round'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Time'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Location'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19-11'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conor McGregor'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (Majority)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UFC 202'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 20, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Las Vegas, Nevada, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Welterweight bout. Fight of the Year.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19-10'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conor McGregor'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Submission (rear-naked choke)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UFC 196'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 5, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4:12'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Las Vegas, Nevada, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Welterweight bout. Performance of the Night. Fight of the Night. Submission of the Year (2016).'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18-10'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michael Johnson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UFC on Fox: dos Anjos vs. Cerrone 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 19, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Orlando, Florida, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fight of the Night.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17-10'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rafael dos Anjos'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UFC on Fox: dos Santos vs. Miocic'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 13, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Phoenix, Arizona, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Catchweight (155.2. lbs) bout; Diaz missed weight, originally came in at 160.5.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17-9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gray Maynard'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TKO (punches)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Ultimate Fighter: Team Rousey vs. Team Tate Finale'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 30, 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2:38'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Las Vegas, Nevada, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Knockout of the Night.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16-9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Josh Thomson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TKO (head kick and punches)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UFC on Fox: Henderson vs. Melendez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 20, 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:44'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'San Jose, California, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16-8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Benson Henderson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UFC on Fox: Henderson vs. Diaz'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 8, 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Seattle, Washington, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'For the UFC Lightweight Championship.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16–7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jim Miller'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Submission (guillotine choke)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UFC on Fox: Diaz vs. Miller'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 5, 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4:09'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'East Rutherford, New Jersey, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Submission of the Night.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15–7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Donald Cerrone'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UFC 141'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 30, 2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Las Vegas, Nevada, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fight of the Night.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14–7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Takanori Gomi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Submission (armbar)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UFC 135'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 24, 2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4:27'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Denver, Colorado, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Return to Lightweight. Submission of the Night.'}"
