"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Director'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Cast'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Genre'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 7, 'is_header': False, 'row_span': 1, 'value': '1936'}",,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Maa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Prafulla Ghosh'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kanan Devi, Jal Merchant, Zubeida, Mohammed Ishaq, Manorama Sr., Rashbihari Bose, Kusum Kumari, Master Vrajmohan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Social'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Prafulla Pics. Music: S. P. Rane Lyrics: B. N. Gupta'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Maa Ki Mamta'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'J. J. Madan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Phool Kumari, Rajmani, Surajram, Akar, Angurbala, Anwaribai, Lakshman, Maneklal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Social'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kesari Films. Music: Sabar Khan Lyrics:'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Madam Fashion'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jaddanbai'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ansari, Ashiq Hussain, Jaddanbai, P. Bose, Baby Nargis, Misra, Yusuf'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Social'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sangeet Movies. Music: Jaddanbai Lyrics: Jaddanbai'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mahamaya'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gunjal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ghulam Mohammed, Pramila, Kumar, Sayed Khan, Lalita, Asooji, Alidadan, Jilloobai'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Social'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Imperial Film Co. Music: Annasaheb Mainkar Lyrics:'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mamta And Miya Biwi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Franz Osten'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Devika Rani, Najmul Hussain, Sunita Devi, J. S. Kashyap, P. F. Pithavala, Kamta Prasad, Chandra Prabha,'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Social'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Music: Saraswati Devi Lyrics: J. S. Kashyap'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Manmohan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mehboob Khan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Surendra, Bibbo, Yakub, Ashalata, Kayam Ali, Kashmiri, Bhudo Advani, Zia Sarhadi, Pesi Patel, Pande, Mehdi Raja'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Social'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sagar Movietone. Music: Ashok Ghosh Lyrics: Zia Sarhadi'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Manzil'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'P. C. Barua'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'P. C. Barua, Jamuna, Prithviraj Kapoor, Pahari Sanyal, Molina, Sitara Devi, K. C. Dey, Nemo, Shore, Bikram Kapoor, Boken Chatto'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Social Family Drama'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New Theatres Music: R. C. Boral Lyrics: Arzu Lucknavi'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mard Ka Bachcha'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M. Udwadia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Aruna Devi, M. Mohammed, Zohra Sehgal, Amir Hussain, Fakir Mohammed, Jay Kumar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Action'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Krishna. Music: Lyrics:'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mastana Mashooq'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A. M. Khan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Yashwant Dave, Ansuya, Master Nissar, Himmatlal, Fazlu, Samson, Bulbule, Kantilal, Ata Mohamed, P. R. Joshi, Bibijan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Action'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vishnu Cine. Music: Pandit Hansraj Lyrics:'}"
