"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Role'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1949'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Philco-Goodyear Television Playhouse'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Elizabeth'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Three Cornered Moon""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Chevrolet Tele-Theatre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Wife'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""Temporarily Purple"", ""Half an Hour""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1949-1954'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Suspense'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1950-1952'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lux Video Theatre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""The Key"", ""The Magnolia Touch"", ""Dames Are Poison"", ""Mine to Have""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 5, 'value': '1951'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Two Girls Named Smith'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Nash Airflyte Theatre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""The Case of the Calico Dog""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Faith Baldwin Romance Theatre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""The Bride from Broadway""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cameo Theatre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Betrayal""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Somerset Maugham TV Theatre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""In Hiding""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1951-52'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lights Out'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""Blood Relation"", ""The House of Dust""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pulitzer Prize Playhouse'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""The Jungle"", ""The Skin of Our Teeth"", ""The Buccaneer"", ""Icebound""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '1952'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chesterfield Presents'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""A Moment of Memory""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Schlitz Playhouse'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""World So Wide""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tales of Tomorrow'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Bound Together""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1952-1958'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Studio One in Hollywood'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Eight episodes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '1953'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hollywood Opening Night'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Legal Affair""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Armstrong Circle Theatre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""Ski Story"", ""Only This Night""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Philip Morris Playhouse'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Room 203""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '1954'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Justice'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Ride with Terror""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Danger'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""See No Evil"", ""Hand Me Down""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Producers' Showcase""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kaye Thorndyke'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""State of the Union""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1954-1960'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The United States Steel Hour'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Julia Walton / Grace Barlow'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Four episodes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1955'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Colgate Comedy Hour'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sophia Teale'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Roberta""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1955-1957'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Climax!'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Caroline Emmet / Emily Rone'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""Deadly Climate"", ""Night of Execution""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1955-1959'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Loretta Young Show'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Joan Rogers / Mrs. Graff'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""The Red Dress"", ""Reunion""'}"
