"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Event'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Record'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Athlete'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Nationality'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Meet'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Place'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ref'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '100 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9.93 (+1.8 m/s)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Patrick Johnson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 May 2003'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Japan Mito, Japan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '200 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20.06 A (+0.9 m/s)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Peter Norman'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 Oct 1968'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Olympic Games'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mexico Mexico City, Mexico'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '300 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '31.88'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Darren Clark'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '30 June 1986'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Republic of Ireland Belfast, Ireland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '400 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '44.38'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Darren Clark'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26 September 1988'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Olympic Games'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Korea Seoul, South Korea'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '600 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:15.14'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lachlan Renshaw'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 February 2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia Sydney, Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '800 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:44.3+ (ht)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Peter Snell'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New Zealand'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3 February 1962'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New Zealand Christchurch, New Zealand'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:44.21'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Joseph Deng'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 July 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Herculis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MonacoFontvieille, Monaco'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1000 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2:16.09'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jeff Riseley'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17 June 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Golden Spike Ostrava'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Czech Republic Ostrava, Czech Republic'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1500 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:29.66'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nick Willis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New Zealand'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17 July 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Herculis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Monaco Fontvieille, Monaco'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
