"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Winner'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Score'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Runner-up'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Venue'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Attendance'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ref'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1902'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Grane'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2–0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Odd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 June'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gamle Frogner Stadion, Kristiania (Oslo)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '—'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1903'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Odd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1–0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Grane'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22 September'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gamle Frogner Stadion, Kristiania (Oslo)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '—'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1904'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Odd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4–0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Porsgrund'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 September'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sportsplassen, Skien'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '800'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1905'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Odd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Akademisk'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 September'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gamle Frogner Stadion, Kristiania (Oslo)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1906'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Odd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1–0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sarpsborg'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 September'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gamle Frogner Stadion, Kristiania (Oslo)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '—'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1907'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mercantile'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3–0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sarpsborg'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22 September'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nedre Frednes Stadion, Porsgrunn'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1908'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lyn'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3–2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Odd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13 September'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gamle Frogner Stadion, Kristiania (Oslo)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '—'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1909'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lyn'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4–3 (aet)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Odd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26 September'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gamle Frogner Stadion, Kristiania (Oslo)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '—'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1910'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lyn'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4–2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Odd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25 September'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gamle Frogner Stadion, Kristiania (Oslo)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
