"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Artist'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Single'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Weeks at number one'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 January'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Elvis Presley'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '""Suspicious Minds""'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '3 weeks (1 week in Dec. 1969)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12 January'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 January'}","{'column_span': 1, 'is_header': False, 'row_span': 7, 'value': 'Johnny Farnham Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 7, 'value': '""Raindrops Keep Fallin\' on My Head""'}","{'column_span': 1, 'is_header': False, 'row_span': 7, 'value': '7 weeks'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26 January'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2 February'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 February'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 February'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23 February'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2 March'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 March'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Shocking Blue'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '""Venus""'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2 weeks'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 March'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23 March'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Led Zeppelin'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '""Whole Lotta Love""'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2 weeks'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '30 March'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6 April'}","{'column_span': 1, 'is_header': False, 'row_span': 6, 'value': 'The Beatles'}","{'column_span': 1, 'is_header': False, 'row_span': 6, 'value': '""Let It Be""'}","{'column_span': 1, 'is_header': False, 'row_span': 6, 'value': '6 weeks'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13 April'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 April'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27 April'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 May'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11 May'}",,,
