id,path,meta
totto_train_00000,train_tables/totto_train_00000.csv,{'sentence': ''}
totto_train_00001,train_tables/totto_train_00001.csv,{'sentence': ''}
totto_train_00002,train_tables/totto_train_00002.csv,{'sentence': ''}
totto_train_00003,train_tables/totto_train_00003.csv,{'sentence': ''}
totto_train_00006,train_tables/totto_train_00006.csv,{'sentence': ''}
totto_train_00007,train_tables/totto_train_00007.csv,{'sentence': ''}
totto_train_00009,train_tables/totto_train_00009.csv,{'sentence': ''}
totto_train_00010,train_tables/totto_train_00010.csv,{'sentence': ''}
totto_train_00011,train_tables/totto_train_00011.csv,{'sentence': ''}
totto_train_00012,train_tables/totto_train_00012.csv,{'sentence': ''}
totto_train_00013,train_tables/totto_train_00013.csv,{'sentence': ''}
totto_train_00014,train_tables/totto_train_00014.csv,{'sentence': ''}
totto_train_00015,train_tables/totto_train_00015.csv,{'sentence': ''}
totto_train_00016,train_tables/totto_train_00016.csv,{'sentence': ''}
totto_train_00018,train_tables/totto_train_00018.csv,{'sentence': ''}
totto_train_00019,train_tables/totto_train_00019.csv,{'sentence': ''}
totto_train_00020,train_tables/totto_train_00020.csv,{'sentence': ''}
totto_train_00024,train_tables/totto_train_00024.csv,{'sentence': ''}
totto_train_00026,train_tables/totto_train_00026.csv,{'sentence': ''}
totto_train_00027,train_tables/totto_train_00027.csv,{'sentence': ''}
totto_train_00028,train_tables/totto_train_00028.csv,{'sentence': ''}
totto_train_00029,train_tables/totto_train_00029.csv,{'sentence': ''}
totto_train_00030,train_tables/totto_train_00030.csv,{'sentence': ''}
totto_train_00031,train_tables/totto_train_00031.csv,{'sentence': ''}
totto_train_00032,train_tables/totto_train_00032.csv,{'sentence': ''}
totto_train_00033,train_tables/totto_train_00033.csv,{'sentence': ''}
totto_train_00035,train_tables/totto_train_00035.csv,{'sentence': ''}
totto_train_00036,train_tables/totto_train_00036.csv,{'sentence': ''}
totto_train_00038,train_tables/totto_train_00038.csv,{'sentence': ''}
totto_train_00039,train_tables/totto_train_00039.csv,{'sentence': ''}
totto_train_00041,train_tables/totto_train_00041.csv,{'sentence': ''}
totto_train_00042,train_tables/totto_train_00042.csv,{'sentence': ''}
totto_train_00043,train_tables/totto_train_00043.csv,{'sentence': ''}
totto_train_00044,train_tables/totto_train_00044.csv,{'sentence': ''}
totto_train_00045,train_tables/totto_train_00045.csv,{'sentence': ''}
totto_train_00046,train_tables/totto_train_00046.csv,{'sentence': ''}
totto_train_00047,train_tables/totto_train_00047.csv,{'sentence': ''}
totto_train_00048,train_tables/totto_train_00048.csv,{'sentence': ''}
totto_train_00049,train_tables/totto_train_00049.csv,{'sentence': ''}
totto_train_00051,train_tables/totto_train_00051.csv,{'sentence': ''}
totto_train_00052,train_tables/totto_train_00052.csv,{'sentence': ''}
totto_train_00054,train_tables/totto_train_00054.csv,{'sentence': ''}
totto_train_00055,train_tables/totto_train_00055.csv,{'sentence': ''}
totto_train_00056,train_tables/totto_train_00056.csv,{'sentence': ''}
totto_train_00058,train_tables/totto_train_00058.csv,{'sentence': ''}
totto_train_00059,train_tables/totto_train_00059.csv,{'sentence': ''}
totto_train_00061,train_tables/totto_train_00061.csv,{'sentence': ''}
totto_train_00062,train_tables/totto_train_00062.csv,{'sentence': ''}
totto_train_00063,train_tables/totto_train_00063.csv,{'sentence': ''}
totto_train_00064,train_tables/totto_train_00064.csv,{'sentence': ''}
totto_train_00066,train_tables/totto_train_00066.csv,{'sentence': ''}
totto_train_00067,train_tables/totto_train_00067.csv,{'sentence': ''}
totto_train_00068,train_tables/totto_train_00068.csv,{'sentence': ''}
totto_train_00069,train_tables/totto_train_00069.csv,{'sentence': ''}
totto_train_00070,train_tables/totto_train_00070.csv,{'sentence': ''}
totto_train_00073,train_tables/totto_train_00073.csv,{'sentence': ''}
totto_train_00076,train_tables/totto_train_00076.csv,{'sentence': ''}
totto_train_00077,train_tables/totto_train_00077.csv,{'sentence': ''}
totto_train_00078,train_tables/totto_train_00078.csv,{'sentence': ''}
